datetime,ip,response_msec
20191212122300,10.20.30.1/16,48
20191212122312,10.20.30.2/16,61
20191212122318,192.168.1.1/24,54
20191212122305,192.168.1.2/24,71
20191212122310,10.20.30.1/16,304
20191212122322,10.20.30.2/16,539
20191212122328,192.168.1.1/24,538
20191212122315,192.168.1.2/24,160
20191212122320,10.20.30.1/16,368
20191212122332,10.20.30.2/16,253
20191212122338,192.168.1.1/24,335
20191212122325,192.168.1.2/24,302
20191212122330,10.20.30.1/16,184
20191212122342,10.20.30.2/16,527
20191212122348,192.168.1.1/24,317
20191212122335,192.168.1.2/24,745
