datetime,ip,response_msec
20200811162335,10.20.30.1/16,97
20200811162256,10.20.30.2/16,28
20200811162256,192.168.1.20/24,74
20200811162345,192.168.1.24/24,53
20200811162302,192.168.1.101/24,87
20200811162349,192.168.1.102/24,63
20200811162306,192.168.1.160/24,41
20200811162350,210.171.136.11/26,32
20200811162342,210.171.136.12/26,64
20200811162320,210.171.136.20/26,50
20200811162345,10.20.30.1/16,462
20200811162306,10.20.30.2/16,87
20200811162306,192.168.1.20/24,900
20200811162355,192.168.1.24/24,167
20200811162312,192.168.1.101/24,57
20200811162359,192.168.1.102/24,547
20200811162316,192.168.1.160/24,421
20200811162400,210.171.136.11/26,128
20200811162352,210.171.136.12/26,34
20200811162330,210.171.136.20/26,11
20200811162355,10.20.30.1/16,632
20200811162316,10.20.30.2/16,602
20200811162316,192.168.1.20/24,269
20200811162405,192.168.1.24/24,794
20200811162322,192.168.1.101/24,629
20200811162409,192.168.1.102/24,779
20200811162326,192.168.1.160/24,933
20200811162410,210.171.136.11/26,584
20200811162402,210.171.136.12/26,953
20200811162340,210.171.136.20/26,567
20200811162405,10.20.30.1/16,727
20200811162326,10.20.30.2/16,380
20200811162326,192.168.1.20/24,570
20200811162415,192.168.1.24/24,117
20200811162332,192.168.1.101/24,579
20200811162419,192.168.1.102/24,295
20200811162336,192.168.1.160/24,973
20200811162420,210.171.136.11/26,771
20200811162412,210.171.136.12/26,414
20200811162350,210.171.136.20/26,184
20200811162415,10.20.30.1/16,270
20200811162336,10.20.30.2/16,932
20200811162336,192.168.1.20/24,914
20200811162425,192.168.1.24/24,259
20200811162342,192.168.1.101/24,772
20200811162429,192.168.1.102/24,358
20200811162346,192.168.1.160/24,756
20200811162430,210.171.136.11/26,423
20200811162422,210.171.136.12/26,739
20200811162400,210.171.136.20/26,551
20200811162425,10.20.30.1/16,69
20200811162346,10.20.30.2/16,810
20200811162346,192.168.1.20/24,192
20200811162435,192.168.1.24/24,128
20200811162352,192.168.1.101/24,717
20200811162439,192.168.1.102/24,974
20200811162356,192.168.1.160/24,49
20200811162440,210.171.136.11/26,609
20200811162432,210.171.136.12/26,998
20200811162410,210.171.136.20/26,536
20200811162435,10.20.30.1/16,677
20200811162356,10.20.30.2/16,595
20200811162356,192.168.1.20/24,20
20200811162445,192.168.1.24/24,403
20200811162402,192.168.1.101/24,439
20200811162449,192.168.1.102/24,643
20200811162406,192.168.1.160/24,237
20200811162450,210.171.136.11/26,792
20200811162442,210.171.136.12/26,36
20200811162420,210.171.136.20/26,561
20200811162445,10.20.30.1/16,28
20200811162406,10.20.30.2/16,886
20200811162406,192.168.1.20/24,305
20200811162455,192.168.1.24/24,423
20200811162412,192.168.1.101/24,284
20200811162459,192.168.1.102/24,258
20200811162416,192.168.1.160/24,840
20200811162500,210.171.136.11/26,345
20200811162452,210.171.136.12/26,355
20200811162430,210.171.136.20/26,463
20200811162455,10.20.30.1/16,144
20200811162416,10.20.30.2/16,525
20200811162416,192.168.1.20/24,109
20200811162505,192.168.1.24/24,686
20200811162422,192.168.1.101/24,14
20200811162509,192.168.1.102/24,421
20200811162426,192.168.1.160/24,910
20200811162510,210.171.136.11/26,896
20200811162502,210.171.136.12/26,454
20200811162440,210.171.136.20/26,756
20200811162505,10.20.30.1/16,655
20200811162426,10.20.30.2/16,309
20200811162426,192.168.1.20/24,129
20200811162515,192.168.1.24/24,657
20200811162432,192.168.1.101/24,353
20200811162519,192.168.1.102/24,297
20200811162436,192.168.1.160/24,118
20200811162520,210.171.136.11/26,165
20200811162512,210.171.136.12/26,740
20200811162450,210.171.136.20/26,457
20200811162515,10.20.30.1/16,685
20200811162436,10.20.30.2/16,984
20200811162436,192.168.1.20/24,690
20200811162525,192.168.1.24/24,454
20200811162442,192.168.1.101/24,660
20200811162529,192.168.1.102/24,387
20200811162446,192.168.1.160/24,916
20200811162530,210.171.136.11/26,625
20200811162522,210.171.136.12/26,583
20200811162500,210.171.136.20/26,904
20200811162525,10.20.30.1/16,170
20200811162446,10.20.30.2/16,984
20200811162446,192.168.1.20/24,808
20200811162535,192.168.1.24/24,408
20200811162452,192.168.1.101/24,595
20200811162539,192.168.1.102/24,361
20200811162456,192.168.1.160/24,674
20200811162540,210.171.136.11/26,33
20200811162532,210.171.136.12/26,905
20200811162510,210.171.136.20/26,270
